,field,sf_value,opportunity_name,chatgpt_value,run_number,config,field_score_type,score
0,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,1,gpt-3.5-turbo_1_v1,binary,0.0
1,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,2,gpt-3.5-turbo_1_v1,binary,0.0
2,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,3,gpt-3.5-turbo_1_v1,binary,1.0
3,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,4,gpt-3.5-turbo_1_v1,binary,1.0
4,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,5,gpt-3.5-turbo_1_v1,binary,1.0
5,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2024-06-30,6,gpt-3.5-turbo_1_v1,binary,0.0
6,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,7,gpt-3.5-turbo_1_v1,binary,0.0
7,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,8,gpt-3.5-turbo_1_v1,binary,1.0
8,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,9,gpt-3.5-turbo_1_v1,binary,1.0
9,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,10,gpt-3.5-turbo_1_v1,binary,1.0
10,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,11,gpt-3.5-turbo_1_v1,binary,0.0
11,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,12,gpt-3.5-turbo_1_v1,binary,1.0
12,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,13,gpt-3.5-turbo_1_v1,binary,0.0
13,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,14,gpt-3.5-turbo_1_v1,binary,1.0
14,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,15,gpt-3.5-turbo_1_v1,binary,1.0
15,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,16,gpt-3.5-turbo_1_v1,binary,0.0
16,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,17,gpt-3.5-turbo_1_v1,binary,1.0
17,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,18,gpt-3.5-turbo_1_v1,binary,1.0
18,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,19,gpt-3.5-turbo_1_v1,binary,0.0
19,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,20,gpt-3.5-turbo_1_v1,binary,0.0
20,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,21,gpt-3.5-turbo_1_v1,binary,1.0
21,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,22,gpt-3.5-turbo_1_v1,binary,1.0
22,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,23,gpt-3.5-turbo_1_v1,binary,1.0
23,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,24,gpt-3.5-turbo_1_v1,binary,1.0
24,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,25,gpt-3.5-turbo_1_v1,binary,1.0
25,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,26,gpt-3.5-turbo_1_v1,binary,1.0
26,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,27,gpt-3.5-turbo_1_v1,binary,1.0
27,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,28,gpt-3.5-turbo_1_v1,binary,1.0
28,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2029-06-30,29,gpt-3.5-turbo_1_v1,binary,0.0
29,Event End Date,2027-06-30,"City of Calabasas, CA Fixed 2024",2027-06-30,30,gpt-3.5-turbo_1_v1,binary,1.0
