,field,config,chatgpt_value
0,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
1,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
2,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
3,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
4,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
5,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
6,Event End Date,gpt-3.5-turbo_0.7_v1,2024-07-01
7,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
8,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
9,Event End Date,gpt-3.5-turbo_0.7_v1,2029-06-30
10,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
11,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
12,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
13,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
14,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
15,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
16,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
17,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
18,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
19,Event Start Date,gpt-3.5-turbo_0.7_v2,2024-07-01
