,field,prompt_description,field_score_type,chatgpt_value,sf_value,score,Naser,Questions for Tom,Answers from Tom,Requires Tom's Input 
2,Incumbent Supplier,Find out who the current incumbent supplier is if the contract is a renewal.,binary,,Storrer Transporation Systems,0,,"How did you find this information?
As it was not in the document.
",,TRUE
6,Pricing Type,"Extract the pricing structure, such as fixed-price or cost-plus. Also include whether a rate per hour is included. Only include those two parameters of information",binary,"Fixed-price, Rate per Hour",Fixed Monthly Cost and a Rate per Revenue Hour.,1,,,,FALSE
8,Region Area Name,"Display the abbreviation for the city/state that the project is in and then the specific area it is in 
for example ##### 
SC - Wilmington",binary,CA - Turlock,CA - California Central California Valley Area,1,,,,FALSE
9,Vehicle Provider,"Identify the expected vehicle provider. Either Bus.com, Agency, Partner / Contractor
. Enter only one value with no additional context. 

### definitions 

Agency: This typically refers to governmental or quasi-governmental organizations responsible for public transportation services. They manage and operate transportation systems, such as city buses, subways, and other public transit options.
Bus.com: This is likely the company itself, Bus.com, which provides charter bus rental services. When listed as a vehicle provider, it indicates that Bus.com is directly offering its services for the specific opportunity or RFP.
Partner: This refers to external partners or subcontractors who collaborate with the primary company (Bus.com) to fulfill transportation needs. These partners could be other transportation companies, independent contractors, or specialized service providers that supplement Bus.com's offerings.",binary,Partner / Contractor,Agency,0,TRUE,,,FALSE
10,Contract Duration (Months),"Extract the total duration of the contract in months. 
Typically it is the (year of end date  - the year of the start date) multiplied by 12
Make sure to return only the value without any additional text or characters.",binary,60,72,0,TRUE,Does the duration include the extension duration or not? Recommend that it does not.,,TRUE
12,Estimated Contract Value (converted),Determine the estimated total value of the contract.,binary,,13517350,0,,"How did you find this information?
As it was not in the document.
",,TRUE
13,Event End Date,Determine when the services or contract are scheduled to conclude. This date should factor in any potential extensions in the contract.  Provide your response using the following date format YYYY-MM-DD. Make sure to return only the date value without any additional text or characters. This format plainly provides the date without any additional context.,binary,2030-06-30,2030-06-30,1,TRUE,"What end date would you like to see (so with extension dates or without?)
Recommend it does not.",,TRUE
15,Number of Awarded Vendors,Note how many vendors will be awarded the contract.,binary,,1,0,,"How did you find this information?
As it was not in the document.
",,TRUE
18,Number of Buses,"Identify the number of buses. provide the number 
without additional text or characters.",binary,,34,0,,"How did you find this information?
As it was not in the document.
",,TRUE
19,Posted Date,Find the date the RFP was officially posted. Provide your response using the following date format YYYY-MM-DD. Make sure to return only the date value without any additional text or characters. This format plainly provides the date without any additional context.,binary,2023-11-08,2023-11-09,1,,,,FALSE
20,Prebid Attendance," Pre-Bid attendance refers to participation in a meeting or sire visit organized before the submission of bids for a project or contract. If there is no Prebid attendance, classify it as “No Prebid”. If the prebid attendance is optional, classify it as “Optional”. If the prebid is not available, classify it as “NaN”. If the prebid is mandatory, classify it as “Mandatory"". If the the Prebid atendance is ""non-mandatory"" or ""not mandotory"", classift it as as ""Optional"".",binary,Mandatory,,0,TRUE,,,FALSE
21,Subcontracting Allowed,Note whether subcontracting is permitted under the terms of the RFP. Provide your response either 'Yes' or 'No'. Make sure to return only the value without any additional text or characters.,binary,Yes,0,0,TRUE,,,FALSE
23,Vehicle Fuel Type,"Identify the vehicle fuel type that will be used for the various forms of transportation. 
Enter either ""Diesel"", ""Hydrogen"", ""Electric"", ""CNG"". Enter only the values without additional context",binary,,CNG,1,,,,FALSE
27,Financial Guarantee Details,Note any financial guarantees required by the RFP. Also include proposal bonds and insurance coverages if mentioned in the operations agreement,human,,"Proposal Bond - Each Proposer shall provide a proposal bond or certified check in the amount of $25,000, payable to City of Turlock.
Performance Bond and Insurance - Each Proposer shall provide evidence of the Proposer’s ability to obtain (1) the performance bond required under the Draft Operations Agreement, in the form of a letter from a surety company that has an A.M. Best rating of “A” or better and that is authorized to conduct business in California, and (2) the insurance coverages required under Section 27 of the Draft Operations Agreement, in the form of a letter from an insurance carrier or broker that has an A.M. Best rating of “A” or better and that is authorized to conduct business in California. These letters should specifically reference the bonding or insurance requirements, as",0,TRUE,,,FALSE
